Date	News
2014-01-23	1.0
2014-01-24	1.0
2014-01-31	1.0
2014-01-31	1.0
2014-02-04	1.0
2014-02-04	0.0
2014-02-05	1.0
2014-03-13	-1.0
2014-03-14	-1.0
2014-03-24	-1.0
2014-03-28	1.0
2014-04-25	0.0
2014-04-27	-1.0
2014-06-19	1.0
2014-07-17	-1.0
2014-07-18	-1.0
2014-07-23	-1.0
2014-08-06	1.0
2014-08-26	0.0
2014-08-28	1.0
2014-09-01	0.0
2014-09-11	-1.0
2014-10-10	-1.0
2014-10-19	0.0
2014-10-20	-1.0
2014-10-22	-1.0
2014-10-23	-1.0
2014-12-26	0.0
2015-01-26	-1.0
2015-01-27	-1.0
2015-04-23	1.0
2015-09-29	1.0
2015-09-30	-1.0
2015-10-23	1.0
2015-11-27	1.0
2015-12-31	-1.0
2015-12-31	-1.0
2015-12-31	-1.0
2015-12-31	-1.0
2015-12-31	-1.0
2016-01-07	-1.0
2016-03-19	1.0
2016-03-25	-1.0
2016-03-25	0.0
2016-03-26	-1.0
2016-03-26	-1.0
2016-03-26	0.0
2016-03-26	0.0
2016-04-14	0.0
2016-04-15	1.0
2016-04-21	-1.0
2016-05-18	0.0
2016-05-18	0.0
2016-05-18	0.0
2016-05-18	0.0
2016-05-21	-1.0
2016-05-23	-1.0
2016-05-25	-1.0
2016-05-26	0.0
2016-05-31	-1.0
2016-05-31	-1.0
2016-06-01	0.0
2016-06-13	0.0
2016-06-13	1.0
2016-06-13	1.0
2016-06-13	-1.0
2016-06-13	0.0
2016-06-13	1.0
2016-06-13	1.0
2016-06-14	0.0
2016-06-16	0.0
2016-06-16	0.0
2016-06-16	0.0
2016-07-04	0.0
2016-07-11	-1.0
2016-07-14	1.0
2016-07-14	1.0
2016-07-20	1.0
2016-07-21	-1.0
2016-07-28	-1.0
2016-07-29	-1.0
2016-09-03	-1.0
2016-09-03	-1.0
2016-09-20	1.0
2016-09-26	0.0
2016-09-27	0.0
2016-09-29	0.0
2016-10-20	1.0
2016-10-20	-1.0
2016-10-26	0.0
2016-10-27	1.0
2016-11-01	-1.0
2016-11-01	-1.0
2016-11-02	-1.0
2016-11-16	1.0
2016-11-23	1.0
2016-11-23	1.0
2016-12-14	1.0
2016-12-20	1.0
2016-12-21	1.0
2017-01-24	0.0
2017-01-26	1.0
2017-01-27	1.0
2017-01-30	0.0
2017-01-31	0.0
2017-02-02	0.0
2017-02-04	-1.0
2017-02-04	-1.0
2017-03-07	-1.0
2017-03-21	1.0
2017-04-10	-1.0
2017-04-13	1.0
2017-04-13	1.0
2017-04-24	1.0
2017-04-24	1.0
2017-04-27	-1.0
2017-04-27	-1.0
2017-04-27	-1.0
2017-04-27	-1.0
2017-04-27	-1.0
2017-04-28	-1.0
2017-04-28	-1.0
2017-05-03	1.0
2017-05-10	-1.0
2017-05-12	0.0
2017-05-13	0.0
2017-05-15	-1.0
2017-05-15	-1.0
2017-05-16	-1.0
2017-05-24	1.0
2017-06-01	1.0
2017-06-12	-1.0
2017-06-12	-1.0
2017-06-19	0.0
2017-06-19	0.0
2017-06-26	1.0
2017-07-03	0.0
2017-07-06	0.0
2017-07-06	0.0
2017-07-10	0.0
2017-07-11	0.0
2017-07-12	0.0
2017-07-20	1.0
2017-07-21	1.0
2017-07-21	1.0
2017-08-10	-1.0
2017-08-10	-1.0
2017-08-10	-1.0
2017-08-10	0.0
2017-08-10	0.0
2017-08-30	0.0
2017-09-01	0.0
2017-09-01	0.0
2017-09-19	1.0
2017-09-27	0.0
2017-09-28	0.0
2017-09-28	-1.0
2017-09-28	0.0
2017-09-29	-1.0
2017-09-30	-1.0
2017-09-30	-1.0
2017-09-30	-1.0
2017-10-01	-1.0
2017-10-01	-1.0
2017-10-01	-1.0
2017-10-01	-1.0
2017-10-02	-1.0
2017-10-02	1.0
2017-10-02	-1.0
2017-10-10	0.0
2017-10-11	1.0
2017-10-11	1.0
2017-10-11	1.0
2017-10-16	1.0
2017-10-16	1.0
2017-10-17	-1.0
2017-10-17	-1.0
2017-10-17	-1.0
2017-10-17	1.0
2017-10-17	-1.0
2017-10-17	-1.0
2017-10-17	-1.0
2017-10-17	-1.0
2017-10-17	-1.0
2017-10-17	-1.0
2017-10-17	-1.0
2017-10-18	-1.0
2017-10-18	1.0
2017-10-18	1.0
2017-10-19	1.0
2017-10-19	1.0
2017-10-19	1.0
2017-10-19	1.0
2017-10-19	1.0
2017-10-24	-1.0
2017-10-24	-1.0
2017-10-24	-1.0
2017-10-24	-1.0
2017-10-25	0.0
2017-10-25	0.0
2017-10-26	0.0
2017-10-26	1.0
2017-10-27	1.0
2017-11-13	-1.0
2017-11-13	-1.0
2017-11-15	-1.0
2017-11-22	0.0
2017-11-22	-1.0
2017-11-22	-1.0
2017-11-28	1.0
2017-11-28	1.0
2017-12-07	1.0
2017-12-19	-1.0
2017-12-19	-1.0
2017-12-19	-1.0
2017-12-19	-1.0
2017-12-19	-1.0
2018-01-09	1.0
2018-01-09	1.0
2018-01-09	1.0
2018-01-09	1.0
2018-01-22	-1.0
2018-01-22	-1.0
2018-01-23	-1.0
2018-01-30	0.0
2018-01-30	0.0
2018-01-31	1.0
2018-01-31	1.0
2018-01-31	-1.0
2018-01-31	-1.0
2018-02-01	-1.0
2018-02-01	1.0
2018-02-01	1.0
2018-02-01	-1.0
2018-02-02	1.0
2018-02-03	1.0
2018-02-07	-1.0
2018-02-08	-1.0
2018-02-13	0.0
2018-02-13	0.0
2018-02-25	1.0
2018-02-25	1.0
2018-02-27	1.0
2018-02-27	1.0
2018-02-27	1.0
2018-02-27	-1.0
2018-02-27	1.0
2018-02-27	1.0
2018-02-27	1.0
2018-03-01	1.0
2018-03-01	1.0
2018-03-05	0.0
2018-03-06	-1.0
2018-03-06	-1.0
2018-03-12	-1.0
2018-03-13	-1.0
2018-03-13	-1.0
2018-03-13	0.0
2018-03-13	-1.0
2018-03-16	-1.0
2018-03-17	-1.0
2018-03-19	-1.0
2018-03-20	1.0
2018-03-22	1.0
2018-03-28	1.0
2018-03-29	-1.0
2018-04-01	1.0
2018-04-01	1.0
2018-04-04	1.0
2018-04-04	1.0
2018-04-17	-1.0
2018-04-17	-1.0
2018-04-25	1.0
2018-04-25	1.0
2018-04-26	0.0
2018-04-26	1.0
2018-04-26	1.0
2018-04-27	1.0
2018-04-27	1.0
2018-04-27	1.0
2018-04-27	1.0
2018-05-22	1.0
2018-05-30	0.0
2018-06-04	0.0
2018-06-04	1.0
2018-06-04	0.0
2018-06-04	0.0
2018-06-04	1.0
2018-06-04	1.0
2018-06-05	0.0
2018-06-05	0.0
2018-06-05	1.0
2018-06-05	1.0
2018-06-05	1.0
2018-06-05	0.0
2018-06-05	1.0
2018-06-06	1.0
2018-06-13	0.0
2018-06-13	0.0
2018-06-13	-1.0
2018-06-14	1.0
2018-06-14	1.0
2018-06-14	1.0
2018-06-14	-1.0
2018-06-14	1.0
2018-06-14	1.0
2018-06-14	-1.0
2018-06-14	-1.0
2018-06-14	0.0
2018-06-14	1.0
2018-06-14	0.0
2018-06-14	0.0
2018-06-14	-1.0
2018-06-14	1.0
2018-06-15	1.0
2018-06-15	1.0
2018-06-15	1.0
2018-06-15	1.0
2018-06-16	1.0
2018-06-16	-1.0
