Date,News
2014-02-06,0.0
2014-02-04,1
2014-01-30,0.0
2014-01-29,0.0
2014-01-27,1
2014-01-20,1
2014-01-16,1
2014-01-14,0.0
2014-01-13,0.0
2014-01-10,0.0
2014-01-09,-1
2014-02-06,0.0
2014-02-04,1
2014-01-30,0.0
2014-01-29,0.0
2014-01-27,1
2014-01-20,1
2014-01-16,1
2014-01-14,0.0
2014-01-13,0.0
2014-01-10,0.0
2014-01-09,-1
2014-10-17,-1
2014-10-16,-1
2014-09-08,0.0
2014-09-04,0.0
2014-07-22,-1
2014-07-22,-1
2014-07-18,1
2014-06-26,1
2014-06-25,0.0
2014-06-23,0.0
2014-06-19,0.0
2014-06-13,0.0
2014-06-06,0.0
2014-06-04,-1
2014-06-02,1
2014-06-02,0.0
2014-05-30,-1
2014-05-29,1
2014-05-28,0.0
2014-05-17,-1
2014-10-17,-1
2014-10-16,-1
2014-09-08,0.0
2014-09-04,0.0
2014-07-22,-1
2014-07-22,-1
2014-07-18,1
2014-06-26,1
2014-06-25,0.0
2014-06-23,0.0
2014-06-19,0.0
2014-06-13,0.0
2014-06-06,0.0
2014-06-04,-1
2014-06-02,1
2014-06-02,0.0
2014-05-30,-1
2014-05-29,1
2014-05-28,0.0
2014-05-17,-1
2014-05-14,0.0
2014-04-25,-1
2014-04-24,1
2014-04-17,1
2014-04-16,1
2014-04-10,0.0
2014-03-28,-1
2014-03-19,-1
2014-03-19,0.0
2014-03-18,-1
2014-02-25,-1
2015-06-01,0.0
2015-05-21,-1
2015-04-24,1
2015-04-23,1
2015-04-21,1
2015-04-17,-1
2015-04-17,1
2015-04-16,-1
2015-04-15,-1
2015-04-15,0.0
2015-04-15,0.0
2015-04-15,-1
2015-03-02,0.0
2015-02-26,0.0
2015-01-30,-1
2015-01-29,1
2015-01-21,1
2015-01-17,0.0
2015-01-14,-1
2015-01-12,1
2015-06-01,0.0
2015-05-21,-1
2015-04-24,1
2015-04-23,1
2015-04-21,1
2015-04-17,-1
2015-04-17,1
2015-04-16,-1
2015-04-15,-1
