Date,News
2014-07-31,-1
2014-07-31,-1
2015-01-14,-1
2015-01-13,-1
2015-01-14,-1
2015-01-13,-1
2016-02-09,-1
2015-11-27,-1
2015-11-20,0.0
2015-11-04,1
2015-11-04,1
2015-10-15,0.0
2015-10-15,-1
2015-10-14,-1
2015-09-30,1
2015-08-14,1
2015-08-14,1
2015-08-13,1
2015-08-10,-1
2015-08-09,-1
2016-02-09,-1
2015-11-27,-1
2015-11-20,0.0
2015-11-04,1
2015-11-04,1
2015-10-15,0.0
2015-10-15,-1
2015-10-14,-1
2015-09-30,1
2015-08-14,1
2015-08-14,1
2015-08-13,1
2015-08-10,-1
2015-08-09,-1
2017-06-03,1
2017-06-03,1
2017-05-16,-1
2017-05-16,-1
2017-05-11,0.0
2017-05-10,0.0
2017-05-07,0.0
2017-05-06,0.0
2017-05-05,0.0
2017-05-05,0.0
2017-05-05,0.0
2017-05-05,-1
2017-05-04,1
2017-05-04,-1
2017-05-03,-1
2017-05-03,1
2017-05-03,1
2017-05-03,-1
2017-05-02,-1
2017-05-02,-1
2017-06-03,1
2017-06-03,1
2017-05-16,-1
2017-05-16,-1
2017-05-11,0.0
2017-05-10,0.0
2017-05-07,0.0
2017-05-06,0.0
2017-05-05,0.0
2017-05-05,0.0
2017-05-05,0.0
2017-05-05,-1
2017-05-04,1
2017-05-04,-1
2017-05-03,-1
2017-05-03,1
2017-05-03,1
2017-05-03,-1
2017-05-02,-1
2017-05-02,-1
2017-04-29,-1
2017-04-29,1
2017-04-29,0.0
2017-04-28,-1
2017-04-28,0.0
2017-04-28,1
2017-04-27,1
2017-04-27,1
2017-04-26,1
2017-04-24,-1
2017-04-24,-1
2017-04-24,-1
2017-04-24,0.0
2017-04-24,-1
2017-04-24,-1
2017-04-24,-1
2017-04-24,-1
2017-04-20,0.0
2017-04-19,0.0
2017-04-17,-1
2017-04-14,-1
2017-04-13,-1
2017-04-13,0.0
2017-04-13,0.0
2017-04-13,0.0
2017-04-12,-1
2017-04-11,1
2017-04-04,-1
2017-04-04,-1
2017-04-03,-1
2017-04-03,-1
2017-04-03,1
2017-04-03,1
2017-04-03,1
2017-04-02,1
2017-03-28,1
2017-03-28,1
2017-03-28,0.0
2017-03-25,0.0
2017-03-25,0.0
