Date,News
23-01-2014,1
24-01-2014,1
31-01-2014,1
31-01-2014,1
04-02-2014,1
04-02-2014,0
05-02-2014,1
13-03-2014,-1
14-03-2014,-1
24-03-2014,-1
28-03-2014,1
25-04-2014,0
27-04-2014,-1
19-06-2014,1
17-07-2014,-1
18-07-2014,-1
23-07-2014,-1
06-08-2014,1
26-08-2014,0
28-08-2014,1
01-09-2014,0
11-09-2014,-1
10-10-2014,-1
19-10-2014,0
20-10-2014,-1
22-10-2014,-1
23-10-2014,-1
26-12-2014,0
26-01-2015,-1
27-01-2015,-1
23-04-2015,1
29-09-2015,1
30-09-2015,-1
23-10-2015,1
27-11-2015,1
31-12-2015,-1
31-12-2015,-1
31-12-2015,-1
31-12-2015,-1
31-12-2015,-1
07-01-2016,-1
19-03-2016,1
25-03-2016,-1
25-03-2016,0
26-03-2016,-1
26-03-2016,-1
26-03-2016,0
26-03-2016,0
14-04-2016,0
15-04-2016,1
21-04-2016,-1
18-05-2016,0
18-05-2016,0
18-05-2016,0
18-05-2016,0
21-05-2016,-1
23-05-2016,-1
25-05-2016,-1
26-05-2016,0
31-05-2016,-1
31-05-2016,-1
01-06-2016,0
13-06-2016,0
13-06-2016,1
13-06-2016,1
13-06-2016,-1
13-06-2016,0
13-06-2016,1
13-06-2016,1
14-06-2016,0
16-06-2016,0
16-06-2016,0
16-06-2016,0
04-07-2016,0
11-07-2016,-1
14-07-2016,1
14-07-2016,1
20-07-2016,1
21-07-2016,-1
28-07-2016,-1
29-07-2016,-1
03-09-2016,-1
03-09-2016,-1
20-09-2016,1
26-09-2016,0
27-09-2016,0
29-09-2016,0
20-10-2016,1
20-10-2016,-1
26-10-2016,0
27-10-2016,1
01-11-2016,-1
01-11-2016,-1
02-11-2016,-1
16-11-2016,1
23-11-2016,1
23-11-2016,1
14-12-2016,1
20-12-2016,1
21-12-2016,1
24-01-2017,0
26-01-2017,1
27-01-2017,1
30-01-2017,0
31-01-2017,0
02-02-2017,0
04-02-2017,-1
04-02-2017,-1
07-03-2017,-1
21-03-2017,1
10-04-2017,-1
13-04-2017,1
13-04-2017,1
24-04-2017,1
24-04-2017,1
27-04-2017,-1
27-04-2017,-1
27-04-2017,-1
27-04-2017,-1
27-04-2017,-1
28-04-2017,-1
28-04-2017,-1
03-05-2017,1
10-05-2017,-1
12-05-2017,0
13-05-2017,0
15-05-2017,-1
15-05-2017,-1
16-05-2017,-1
24-05-2017,1
01-06-2017,1
12-06-2017,-1
12-06-2017,-1
19-06-2017,0
19-06-2017,0
26-06-2017,1
03-07-2017,0
06-07-2017,0
06-07-2017,0
10-07-2017,0
11-07-2017,0
12-07-2017,0
20-07-2017,1
21-07-2017,1
21-07-2017,1
10-08-2017,-1
10-08-2017,-1
10-08-2017,-1
10-08-2017,0
10-08-2017,0
30-08-2017,0
01-09-2017,0
01-09-2017,0
19-09-2017,1
27-09-2017,0
28-09-2017,0
28-09-2017,-1
28-09-2017,0
29-09-2017,-1
30-09-2017,-1
30-09-2017,-1
30-09-2017,-1
01-10-2017,-1
01-10-2017,-1
01-10-2017,-1
01-10-2017,-1
02-10-2017,-1
02-10-2017,1
02-10-2017,-1
10-10-2017,0
11-10-2017,1
11-10-2017,1
11-10-2017,1
16-10-2017,1
16-10-2017,1
17-10-2017,-1
17-10-2017,-1
17-10-2017,-1
17-10-2017,1
17-10-2017,-1
17-10-2017,-1
17-10-2017,-1
17-10-2017,-1
17-10-2017,-1
17-10-2017,-1
17-10-2017,-1
18-10-2017,-1
18-10-2017,1
18-10-2017,1
19-10-2017,1
19-10-2017,1
19-10-2017,1
19-10-2017,1
19-10-2017,1
24-10-2017,-1
24-10-2017,-1
24-10-2017,-1
24-10-2017,-1
25-10-2017,0
25-10-2017,0
26-10-2017,0
26-10-2017,1
27-10-2017,1
13-11-2017,-1
13-11-2017,-1
15-11-2017,-1
22-11-2017,0
22-11-2017,-1
22-11-2017,-1
28-11-2017,1
28-11-2017,1
07-12-2017,1
19-12-2017,-1
19-12-2017,-1
19-12-2017,-1
19-12-2017,-1
19-12-2017,-1
09-01-2018,1
09-01-2018,1
09-01-2018,1
09-01-2018,1
22-01-2018,-1
22-01-2018,-1
23-01-2018,-1
30-01-2018,0
30-01-2018,0
31-01-2018,1
31-01-2018,1
31-01-2018,-1
31-01-2018,-1
01-02-2018,-1
01-02-2018,1
01-02-2018,1
01-02-2018,-1
02-02-2018,1
03-02-2018,1
07-02-2018,-1
08-02-2018,-1
13-02-2018,0
13-02-2018,0
25-02-2018,1
25-02-2018,1
27-02-2018,1
27-02-2018,1
27-02-2018,1
27-02-2018,-1
27-02-2018,1
27-02-2018,1
27-02-2018,1
01-03-2018,1
01-03-2018,1
05-03-2018,0
06-03-2018,-1
06-03-2018,-1
12-03-2018,-1
13-03-2018,-1
13-03-2018,-1
13-03-2018,0
13-03-2018,-1
16-03-2018,-1
17-03-2018,-1
19-03-2018,-1
20-03-2018,1
22-03-2018,1
28-03-2018,1
29-03-2018,-1
01-04-2018,1
01-04-2018,1
04-04-2018,1
04-04-2018,1
17-04-2018,-1
17-04-2018,-1
25-04-2018,1
25-04-2018,1
26-04-2018,0
26-04-2018,1
26-04-2018,1
27-04-2018,1
27-04-2018,1
27-04-2018,1
27-04-2018,1
22-05-2018,1
30-05-2018,0
